0.260,0.391,0.002,,,,,
0.013,0.988,0.349,,,,,
0.991,0.965,0.150,,,,,
0.948,0.003,0.974,,,,,
0.005,0.696,0.993,,,,,
0.953,0.021,0.169,,,,,
0.014,0.008,0.433,,,,,
0.980,0.980,0.996,,,,,
0.936,0.042,0.011,0.000,0.000,0.034,0.027,0.000
0.036,0.955,0.008,0.000,0.037,0.000,0.001,0.002
0.028,0.001,0.967,0.000,0.000,0.007,0.000,0.035
0.000,0.000,0.000,0.967,0.001,0.026,0.017,0.031
0.000,0.028,0.000,0.001,0.962,0.000,0.031,0.030
0.031,0.000,0.024,0.035,0.000,0.960,0.005,0.000
0.010,0.001,0.000,0.012,0.019,0.005,0.952,0.000
0.000,0.000,0.024,0.002,0.003,0.000,0.000,0.952
